樹種,樹種区分,樹種コード
ナギ,常緑広葉,02
ツゲ,常緑広葉,02
ヤマグルマ,常緑広葉,02
アカガシ,常緑広葉,02
シラカシ,常緑広葉,02
ツクバネカシ,常緑広葉,02
イチイガシ,常緑広葉,02
アラカシ,常緑広葉,02
ウバメガシ,常緑広葉,02
タブ,常緑広葉,02
イス,常緑広葉,02
モチノキ,常緑広葉,02
ヤマモモ,常緑広葉,02
スギ,常緑針葉,01
ヒノキ,常緑針葉,01
サワラ,常緑針葉,01
カラマツ,常緑針葉,01
アカマツ,常緑針葉,01
クロマツ,常緑針葉,01
ヒメコマツ,常緑針葉,01
トドマツ,常緑針葉,01
アオトド,常緑針葉,01
エゾマツ,常緑針葉,01
琉球マツ,常緑針葉,01
コウヤマキ,常緑針葉,01
アカエゾマツ,常緑針葉,01
シラベ,常緑針葉,01
トガサワラ,常緑針葉,01
ツガ,常緑針葉,01
コメツガ,常緑針葉,01
ハリモミ,常緑針葉,01
トウヒ,常緑針葉,01
ネズコ,常緑針葉,01
イヌマキ,常緑針葉,01
カヤ,常緑針葉,01
フランスカイガンショウ,常緑針葉,01
リキダマツ,常緑針葉,01
他Ｎ,常緑針葉,01
モミ,常緑針葉,01
サクラ,常緑針葉,01
イチイ,常緑針葉,01
ドイツトウヒ,常緑針葉,01
ヒバ,常緑針葉,01
マダケ,竹・笹,05
ハチク,竹・笹,05
モウソウチク,竹・笹,05
イタヤカエデ,落葉広葉,03
ミズメ,落葉広葉,03
イチョウ,落葉広葉,03
ヤマサクラ,落葉広葉,03
シデ,落葉広葉,03
シオジ,落葉広葉,03
ニレ,落葉広葉,03
キリ,落葉広葉,03
ミズキ,落葉広葉,03
ブナ,落葉広葉,03
イヌブナ,落葉広葉,03
クリ,落葉広葉,03
ヤナギ,落葉広葉,03
クヌギ,落葉広葉,03
アベマキ,落葉広葉,03
ミズナラ,落葉広葉,03
コナラ,落葉広葉,03
カシワ,落葉広葉,03
シイ,落葉広葉,03
サワグルミ,落葉広葉,03
オニグルミ,落葉広葉,03
ウダイカンバ,落葉広葉,03
ハンノキ,落葉広葉,03
ケヤキ,落葉広葉,03
クス,落葉広葉,03
ウワミズサクラ,落葉広葉,03
キハダ,落葉広葉,03
ヤチダモ,落葉広葉,03
カエデ,落葉広葉,03
トチノキ,落葉広葉,03
シナノキ,落葉広葉,03
アサダ,落葉広葉,03
センノキ,落葉広葉,03
コブシ,落葉広葉,03
アオダモ,落葉広葉,03
エノキ,落葉広葉,03
イヌエンジュ,落葉広葉,03
ダケカンバ,落葉広葉,03
ムクノキ,落葉広葉,03
エゴノキ,落葉広葉,03
ポプラ,落葉広葉,03
他Ｌ,広葉,04
シラカバ,落葉広葉,03
カンバ,落葉広葉,03
ドロノキ,落葉広葉,03
カツラ,落葉広葉,03
ホオノキ,落葉広葉,03
ナツツバキ,落葉広葉,03
